ID;X_WGS84UTM33 (convertito);Y_WGS84UTM33 (convertito);Stazione;Quota DTM;cod_distretto
1810;41.80777777859599; 14.368999999437028;AGNONE;801;0
1040;42.29547119252326; 13.98547363258984;ALANNO;175;7
6290;42.42230224226477; 14.276916503471853;ALENTO A S. LEONARDO;17;7
750;41.994506832995256; 13.802673340056069;ANVERSA;604;7
420;42.533333332128414; 13.852333333401992;APPIGNANO;360;7
460;42.49369950106382; 14.185320317937713;ARINGO;2;7
410;42.5001220702523; 13.79809570370605;ARSITA;580;7
590;42.41967773854143; 13.518127441089193;ASSERGI;989;7
1460;41.85416666285556; 14.201111111370912;ATELETA;751;7
1670;42.06666667126518; 14.452333333052273;ATESSA;388;7
1645;42.13110351271405; 14.41491699256419;ATESSA-PIAZZANO;84;7
340;42.57972221844156; 13.968611110645442;ATRI;415;7
342;42.57250976884872; 13.998291015462259;ATRI2;325;7
2440;41.84111111003916; 15.169000000291962;AZIENDA AGRIALCO;220;0
275;42.55651855433926; 13.632080078688778;AZZINANO;584;7
840;42.09332275800748; 13.909484863807121;BAGNATURO;347;7
1800;41.7000000016044; 14.452333333127996;BAGNOLI DEL TRIGNO;631;0
2030;41.52944439692735; 14.552333333473499;BARANELLO;575;0
920;42.32373046600868; 13.573913574516414;BARISCIANO;978;7
1380;41.76031493702944; 13.98791503867676;BARREA;978;7
2240;41.39205753959133; 14.973218091538284;BASELICE;630;0
600;42.33333329909749; 13.452333333088593;BAZZANO;589;7
640;42.191894528364124; 13.676879882622792;BEFFI;600;7
130;42.74468994517836; 13.800292968188774;BELLANTE;351;7
1960;41.499444396918754; 14.285666666900196;BOIANO;1200;0
1550;42.03448486560858; 14.36828613233615;BOMBA DIGA;460;7
1560;42.01358329448721; 14.35049999955456;BOMBA DIGA;250;7
2400;41.70277780316596; 14.935555556185676;BONEFRO;565;0
1080;42.31666670171433; 13.852333333387566;BRITTOLI;730;7
760;42.02236198801061; 13.860575965473847;BUGNARA;522;7
940;42.19694439511337; 13.840277778331378;BUSSI OPFFICINE;249;7
650;42.24722206947465; 13.56819254810015;CAMPANA;580;7
1950;41.46111109603394; 14.385666666652666;CAMPITELLO MATESE;1469;0
120;42.7531127896084; 13.709472656546444;CAMPLI;360;7
790;42.01007079778983; 14.033691406755318;CAMPO DI GIOVE;1075;7
580;42.44390869246817; 13.557922363644748;CAMPO IMPERATORE;2136;7
585;42.44999999691014; 13.568999999499264;CAMPO IMPERATORE;2088;7
2040;41.55000000201464; 14.652333332688558;CAMPOBASSO;745;0
2320;41.663888897604245; 14.767500000173083;CAMPOLIETO;620;0
190;42.53607178263342; 13.4064941403099;CAMPOTOSTO;1341;7
170;42.516666700110704; 13.418999999732598;CANTONIERA ORTOL;1055;7
